param_setting,taxon,role,count_recovered,count_not_recovered,total,pct_correct
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,F,minor_donor,35,0,35,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,B,minor_donor,25,9,34,73.5
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,D,hybrid_taxon,32,0,32,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,C,minor_donor,23,9,32,71.9
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,E,minor_donor,23,7,30,76.7
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,D,minor_donor,22,7,29,75.9
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,E,hybrid_taxon,27,0,27,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,C,hybrid_taxon,21,0,21,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,B,hybrid_taxon,18,0,18,100.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,F,hybrid_taxon,2,16,18,11.1
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,G,major_donor,8,8,16,50.0
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,H,major_donor,7,8,15,46.7
SNaQ-DUP0.0-LOS0.0-RVN-N_ind1-SF1.0-genelen1000-summary,F,major_donor,12,0,12,100.0
